First Name,Count
Emily,25953.0
Hannah,23069.0
Madison,19967.0
Ashley,17994.0
Sarah,17681.0
Alexis,17627.0
Samantha,17264.0
Jessica,15701.0
Elizabeth,15085.0
Taylor,15078.0
Lauren,14172.0
Alyssa,13552.0
Kayla,13310.0
Abigail,13087.0
Brianna,12873.0
Olivia,12852.0
Emma,12537.0
Megan,11433.0
Grace,11282.0
Victoria,10921.0
Rachel,10659.0
Anna,10574.0
Sydney,10242.0
Destiny,9842.0
Morgan,9502.0
Jennifer,9386.0
Jasmine,9092.0
Haley,9067.0
Julia,8764.0
Kaitlyn,8757.0
Nicole,8559.0
Amanda,8549.0
Katherine,8106.0
Natalie,8093.0
Hailey,7826.0
Alexandra,7545.0
Savannah,7096.0
Chloe,7094.0
Rebecca,7053.0
Stephanie,7027.0
Maria,6850.0
Sophia,6560.0
Mackenzie,6348.0
Allison,6313.0
Isabella,6242.0
Amber,6182.0
Mary,6179.0
Danielle,6087.0
Gabrielle,5867.0
Jordan,5808.0
Brooke,5640.0
Michelle,5542.0
Sierra,5519.0
Katelyn,5501.0
Andrea,5473.0
Madeline,5370.0
Sara,5314.0
Kimberly,5240.0
Courtney,5239.0
Erin,5183.0
Brittany,5180.0
Vanessa,5133.0
Jenna,5045.0
Jacqueline,5035.0
Caroline,5019.0
Faith,4999.0
Makayla,4916.0
Bailey,4647.0
Paige,4608.0
Shelby,4557.0
Melissa,4528.0
Kaylee,4492.0
Christina,4320.0
Trinity,4282.0
Mariah,4103.0
Caitlin,4102.0
Autumn,4024.0
Marissa,4022.0
Breanna,3823.0
Angela,3821.0
Catherine,3797.0
Zoe,3784.0
Briana,3755.0
Jada,3747.0
Laura,3730.0
Claire,3710.0
Alexa,3674.0
Kelsey,3669.0
Kathryn,3640.0
Leslie,3619.0
Alexandria,3547.0
Sabrina,3465.0
Mia,3449.0
Isabel,3446.0
Molly,3399.0
Leah,3392.0
Katie,3386.0
Gabriella,3367.0
Cheyenne,3366.0
Cassandra,3304.0
449,
Isabel 3446,
Molly 3399,
Leah 3392,
Katie 3386,
Gabriella 3367,
Cheyenne 3366,
Cassandra 3304,
